Data Filepath,Stock(s),Data Type,Start-End Date (Values),Scaling Method,Processing Method,Window Size,Model,Date Performed,Batch Size,Learning Rate,Num Epochs,Execution Time (s),Number of Layers,Criterion,Optimizer,Dropout Rate,Train Accuracy,Test Accuracy
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:46:22,32,0.06,100,18.77863311767578,2,CrossEntropyLoss(),Adam,0.2,0.5728920409771474,0.4862132352941176
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:46:41,32,0.0699999999999999,100,18.768907070159912,2,CrossEntropyLoss(),Adam,0.2,0.5697399527186762,0.4889705882352941
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:47:00,32,0.08,100,18.708781957626343,2,CrossEntropyLoss(),Adam,0.2,0.5689519306540584,0.4751838235294117
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:47:19,32,0.09,100,18.87468147277832,2,CrossEntropyLoss(),Adam,0.2,0.5531914893617021,0.4834558823529412
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:47:37,32,0.0999999999999999,100,18.81959724426269,2,CrossEntropyLoss(),Adam,0.2,0.557919621749409,0.4816176470588235
pca_SPX_Close,SPX,stock_single_name,2009-06-19 00:00:00 - 2024-11-22 00:00:00,standard,pca,200,gru,2024-12-06 13:11:52,32,0.01,100,20.45389413833618,2,CrossEntropyLoss(),Adam,0.2,0.9627696590118302,0.5503246753246753
pca_SPX_Close,SPX,stock_single_name,2009-06-19 00:00:00 - 2024-11-22 00:00:00,standard,pca,400,gru,2024-12-06 13:13:22,32,0.01,100,20.11660385131836,2,CrossEntropyLoss(),Adam,0.2,0.9662385321100916,0.5474764756201882
pca_SPX_Close,SPX,stock_single_name,2009-06-19 00:00:00 - 2024-11-22 00:00:00,standard,pca,1000,gru,2024-12-06 13:14:55,32,0.01,100,15.97105598449707,2,CrossEntropyLoss(),Adam,0.2,0.9660044150110376,0.5355303810504635
pca_SPX_Close,SPX,stock_single_name,2009-06-19 00:00:00 - 2024-11-22 00:00:00,standard,pca,1000,gru,2024-12-06 13:37:27,32,0.01,100,447.61649560928345,2,CrossEntropyLoss(),Adam,0.2,0.7995584988962472,0.5128733264675592
pca_SPX_Close,SPX,stock_single_name,2009-06-19 00:00:00 - 2024-11-22 00:00:00,standard,pca,1000,gru,2024-12-06 13:39:57,32,0.01,100,30.320865869522095,2,CrossEntropyLoss(),Adam,0.2,0.9483443708609272,0.5592173017507724
