Realized,Predicted,Correct
-0.02064466404250176,0.16090609004614748,0
0.0,0.09210683122305088,1
-4.353214989051546,0.09949232712949997,0
-2.8508898231872304,-1.7796905389176672,1
-1.2478238873760372,-1.0287218852389652,1
0.35524204843515594,-0.16656380759648637,0
0.35313119869667303,0.4154330562940738,1
0.3510203489581902,0.29935297031028923,1
0.34890949921970726,0.22188665836742238,1
-0.49436099731957617,0.22117112057809654,0
-1.3189158968755166,-0.14275192378410678,1
1.8657533188262132,-0.4784312171014236,0
4.003185357467887,0.9564992457780132,1
3.8671519101844596,1.8424577177705728,1
3.731118462901032,1.5800354905800225,1
3.595085015617605,1.4244425588367418,1
0.8529159871886627,1.3777466473964621,1
3.1827276534363236,0.20074379955552762,1
4.47463359639233,1.2851090500051054,1
0.05409442428348754,1.9197685778643536,1
-4.366444747825356,-0.1354946378872063,1
-3.185187459371045,-2.0120650579104358,1
-2.0039301709167345,-1.1808701624259605,1
-1.5595575914150894,-0.48894485252418224,1
-1.1151850119134443,-0.3824297967304831,1
-3.239151483144087,-0.25653532792582445,1
-0.12280542163195518,-1.2137438065601822,1
0.15303719800184484,0.17352281231969002,1
0.42887981763564487,0.3171458267903,1
0.704722437269445,0.28444503349125605,1
1.0660787971285002,0.3849050990132495,1
1.0895098324347208,0.5226701223082434,1
1.1762492807506852,0.5113321385444853,1
3.121343030568169,0.5318506543360164,1
2.332957276806713,1.37614656915867,1
1.5445715230452572,0.9818607618956534,1
0.7561857692838014,0.5673172912879838,1
-2.5694195911664997,0.280123640481856,0
-2.4967318849191344,-1.1137252818701149,1
0.11745152354569743,-0.964211758958889,0
0.0,0.33028579874885394,1
0.002582377853532769,0.21114838385958448,1
0.005164755707065538,0.09212336662463368,1
0.007747133560598307,0.09866575714544805,1
-1.0081559930502526,0.09958039625135472,0
-0.5455439788937033,-0.34350732047777643,1
-3.4384694932781845,-0.11705485870442474,1
2.448053081892798,-1.3417842282088575,0
1.300626122104213,1.270312303306371,1
